pair,equiv,recall oriented, precision oriented,overlap,f-measure
cmt-conference,0.482758620689655,0.517241379310345,0.5,0.517241379310345,0.517073793582265
cmt-confOf,0.5625,0.6875,0.8125,0.8125,0.750871248535781
cmt-edas,0.529411764705882,0.529411764705882,0.529411764705882,0.529411764705882,0.529411764705882
cmt-ekaw,0.434782608695652,0.478260869565217,0.456521739130435,0.478260869565217,0.46657999464089
conference-cmt,0.517241379310345,0.517241379310345,0.517241379310345,0.517241379310345,0.517241379310345
conference-confOf,0.533333333333333,0.533333333333333,0.533333333333333,0.533333333333333,0.533333333333333
conference-edas,0.535714285714286,0.535714285714286,0.535714285714286,0.535714285714286,0.535714285714286
conference-ekaw,0.410714285714286,0.446428571428571,0.428571428571429,0.446428571428571,0.437200108570577
confOf-cmt,0.5625,0.78125,0.71875,0.8125,0.71708172812328
confOf-conference,0.533333333333333,0.566666666666667,0.55,0.566666666666667,0.552411461114077
confOf-edas,0.282051282051282,0.282051282051282,0.282051282051282,0.282051282051282,0.282051282051282
confOf-ekaw,0.387096774193548,0.451612903225806,0.419354838709678,0.451612903225806,0.447824289467208
edas-cmt,0.470588235294118,0.558823529411765,0.558823529411765,0.588235294117647,0.543471205887587
edas-conference,0.5,0.517857142857143,0.535714285714286,0.535714285714286,0.526915113871636
edas-confOf,0.282051282051282,0.294871794871795,0.307692307692308,0.307692307692308,0.301374953548867
edas-ekaw,0.461538461538462,0.538461538461538,0.5,0.538461538461538,0.536179660635483
ekaw-cmt,0.434782608695652,0.478260869565217,0.521739130434783,0.521739130434783,0.503104863781439
ekaw-conference,0.410714285714286,0.464285714285714,0.4375,0.482142857142857,0.456042821174147
ekaw-confOf,0.387096774193548,0.387096774193548,0.387096774193548,0.387096774193548,0.387096774193548
ekaw-edas,0.5,0.5,0.5,0.5,0.5
,0.460910465761448,0.503318489947923,0.501600803948668,0.517202231153435,0.502049003112096
