pair,classical,recall oriented,precision oriented,overlap,query f-measure,not disjoint
cmt-conference,0.818181818181818,0.909090909090909,0.863636363636364,0.909090909090909,0.896072814301773,0.909090909090909
cmt-confOf,0.5,0.5,0.5,0.5,0.5,0.5
cmt-edas,0.384615384615385,0.461538461538462,0.538461538461538,0.615384615384615,0.496893965333391,0.769230769230769
cmt-ekaw,0.411764705882353,0.558823529411765,0.529411764705882,0.705882352941176,0.556432086899602,0.764705882352941
conference-cmt,0.818181818181818,0.863636363636364,0.909090909090909,0.909090909090909,0.896072814301773,0.909090909090909
conference-confOf,0.5,0.666666666666667,0.833333333333333,0.833333333333333,0.706141166900423,0.833333333333333
conference-edas,0.071428571428572,0.107142857142857,0.142857142857143,0.214285714285714,0.119942126175651,0.214285714285714
conference-ekaw,0.28,0.54,0.56,0.72,0.460433455385297,0.76
confOf-cmt,0.5,0.5,0.5,0.5,0.5,0.5
confOf-conference,0.5,0.833333333333333,0.666666666666667,0.833333333333333,0.706141166900423,0.833333333333333
confOf-edas,0,0.125,0.0625,0.125,0.07154297917779,0.25
confOf-ekaw,0,0,0,0,0,0.5
edas-cmt,0.384615384615385,0.538461538461538,0.461538461538462,0.615384615384615,0.496893965333391,0.769230769230769
edas-conference,0.071428571428572,0.142857142857143,0.107142857142857,0.214285714285714,0.119942126175651,0.214285714285714
edas-confOf,0,0.0625,0.125,0.125,0.07154297917779,0.25
edas-ekaw,0,0.1,0.1,0.2,0.110675991061606,0.4
ekaw-cmt,0.411764705882353,0.529411764705882,0.558823529411765,0.705882352941176,0.556432086899602,0.764705882352941
ekaw-conference,0.28,0.56,0.54,0.72,0.460433455385297,0.76
ekaw-confOf,0,0,0,0,0,0.5
ekaw-edas,0,0.1,0.1,0.2,0.110675991061606,0.4
,0.296599048010813,0.404923128342246,0.404923128342246,0.482297692503575,0.391813458523553,0.590064660829367
