pair,classical,recall oriented,precision oriented,overlap,query f-measure,not disjoint
cmt-conference,0.416666666666667,0.708333333333333,0.625,0.833333333333333,0.673577110745229,0.916666666666667
cmt-confOf,0.6,0.75,0.75,0.8,0.745906046361491,0.9
cmt-edas,0.636363636363636,0.772727272727273,0.772727272727273,0.909090909090909,0.83006609536993,0.909090909090909
cmt-ekaw,0.625,0.8125,0.8125,1,0.937642501304513,1
conference-cmt,0.416666666666667,0.625,0.708333333333333,0.833333333333333,0.673577110745229,0.916666666666667
conference-confOf,0.6,0.766666666666667,0.733333333333333,0.866666666666667,0.770820030462907,0.933333333333333
conference-edas,0.6,0.766666666666667,0.733333333333333,0.866666666666667,0.798033962391785,0.866666666666667
conference-ekaw,0.652173913043478,0.782608695652174,0.782608695652174,0.91304347826087,0.837281427155001,0.91304347826087
confOf-cmt,0.6,0.75,0.75,0.8,0.745906046361491,0.9
confOf-conference,0.6,0.733333333333333,0.766666666666667,0.866666666666667,0.770820030462907,0.933333333333333
confOf-edas,0.583333333333333,0.833333333333333,0.833333333333333,0.916666666666667,0.879118120043973,1
confOf-ekaw,0.588235294117647,0.794117647058823,0.735294117647059,0.882352941176471,0.805335537314171,0.882352941176471
edas-cmt,0.636363636363636,0.772727272727273,0.772727272727273,0.909090909090909,0.83006609536993,0.909090909090909
edas-conference,0.6,0.733333333333333,0.766666666666667,0.866666666666667,0.798033962391785,0.866666666666667
edas-confOf,0.583333333333333,0.833333333333333,0.833333333333333,0.916666666666667,0.879118120043973,1
edas-ekaw,0.571428571428571,0.785714285714286,0.678571428571429,0.857142857142857,0.839327935625088,1
ekaw-cmt,0.625,0.8125,0.8125,1,0.937642501304513,1
ekaw-conference,0.652173913043478,0.782608695652174,0.782608695652174,0.91304347826087,0.837281427155001,0.91304347826087
ekaw-confOf,0.588235294117647,0.735294117647059,0.794117647058823,0.882352941176471,0.805335537314171,0.882352941176471
ekaw-edas,0.571428571428571,0.678571428571429,0.785714285714286,0.857142857142857,0.839327935625088,1
,0.587320141495333,0.761468470787525,0.761468470787525,0.884496351900444,0.811710876677409,0.932115399519491
