pair,classical,recall oriented,precision oriented,overlap,query f-measure,not disjoint
cmt-conference,0.444444444444444,0.722222222222222,0.666666666666667,0.777777777777778,0.576198323566451,0.777777777777778
cmt-confOf,0.666666666666667,0.75,0.833333333333333,0.833333333333333,0.744047619047619,0.833333333333333
cmt-edas,0.5,0.65,0.65,0.8,0.713072704906923,0.8
cmt-ekaw,0.428571428571429,0.642857142857143,0.642857142857143,0.857142857142857,0.755917509211657,0.857142857142857
conference-cmt,0.444444444444444,0.666666666666667,0.722222222222222,0.777777777777778,0.576198323566451,0.777777777777778
conference-confOf,0.6,0.7,0.65,0.7,0.624160079051383,0.7
conference-edas,0.428571428571429,0.5,0.464285714285714,0.571428571428571,0.498752560946271,0.571428571428571
conference-ekaw,0.6,0.8,0.7,0.866666666666667,0.72705083328416,0.866666666666667
confOf-cmt,0.666666666666667,0.833333333333333,0.75,0.833333333333333,0.744047619047619,0.833333333333333
confOf-conference,0.6,0.65,0.7,0.7,0.624160079051383,0.7
confOf-edas,0.333333333333333,0.5,0.5,0.611111111111111,0.531852774856374,1
confOf-ekaw,0.583333333333333,0.833333333333333,0.708333333333333,0.916666666666667,0.779121061046984,0.916666666666667
edas-cmt,0.5,0.65,0.65,0.8,0.713072704906923,0.8
edas-conference,0.428571428571429,0.464285714285714,0.5,0.571428571428571,0.498752560946271,0.571428571428571
edas-confOf,0.333333333333333,0.5,0.5,0.611111111111111,0.531852774856374,1
edas-ekaw,0.538461538461538,0.692307692307692,0.615384615384615,0.769230769230769,0.750386742767909,0.923076923076923
ekaw-cmt,0.428571428571429,0.642857142857143,0.642857142857143,0.857142857142857,0.755917509211657,0.857142857142857
ekaw-conference,0.6,0.7,0.8,0.866666666666667,0.72705083328416,0.866666666666667
ekaw-confOf,0.583333333333333,0.708333333333333,0.833333333333333,0.916666666666667,0.779121061046984,0.916666666666667
ekaw-edas,0.538461538461538,0.615384615384615,0.692307692307692,0.769230769230769,0.750386742767909,0.923076923076923
,0.512338217338217,0.66107905982906,0.66107905982906,0.770335775335775,0.670056020868573,0.82460927960928
