cqa,best_q_prec,best_q_fmeasure,best_q_rec
pc_chair,0.3333333333333333,0.5,1.0
assigned_reviewer,0.40089753178758414,0.5723438334223171,1.0
reviewers_all,1.0,1.0,1.0
person_name,0.0,0.0,0.0
is_assigned_reviewer_of,0.0,0.0,0.0
topic,0.0,0.0,0.0
conference_site_url,0.0,0.0,0.0
external_reviewer,0.5991024682124159,0.7492984097287185,1.0
person,1.0,1.0,1.0
program_committee,1.0,1.0,1.0
paper_co_author,1.0,1.0,1.0
paper,1.0,1.0,1.0
abstract_of_paper,0.0,0.0,0.0
paper_abstract_title,0.0,0.0,0.0
paper_title,0.0,0.0,0.0
conference_start_date,0.0,0.0,0.0
accepted_paper,0.40511627906976744,0.5766302548824893,1.0
rejected_paper,0.5948837209302326,0.7459900845727617,1.0
author,1.0,1.0,1.0
assigned_reviewer_author_of_review,0.0,0.0,0.0
review,1.0,1.0,1.0
member_of_pc,0.0,0.0,0.0
paper_abstract,0.0,0.0,0.0
is_author_of_paper,0.0,0.0,0.0
conference_name,0.0,0.0,0.0
pc_member,0.749476622470342,0.8568009573195055,1.0
paper_1st_author,0.44305724725943973,0.6140535978054442,1.0
conference,1.0,1.0,1.0
invite_reviewer,0.0,0.0,0.0
global mean,0.3974436966573488,0.43500403923211156,0.5172413793103449

