pair,equiv,recall oriented, precision oriented,overlap,f-measure
cmt-conference,0.275862068965517,0.517241379310345,0.396551724137931,0.517241379310345,0.435004039232112
cmt-confOf,0.25,0.25,0.25,0.3125,0.277449518127581
cmt-edas,0.294117647058824,0.294117647058824,0.294117647058824,0.294117647058824,0.294117647058824
cmt-ekaw,0.130434782608696,0.130434782608696,0.130434782608696,0.173913043478261,0.149538866930171
conference-cmt,0.172413793103448,0.241379310344828,0.258620689655172,0.275862068965517,0.24777467119926
conference-confOf,0.166666666666667,0.3,0.233333333333333,0.3,0.253023919002545
conference-edas,0.214285714285714,0.25,0.232142857142857,0.25,0.238287807111247
conference-ekaw,0.25,0.357142857142857,0.303571428571429,0.392857142857143,0.299436239753507
confOf-cmt,0.25,0.25,0.25,0.3125,0.277449518127581
confOf-conference,0.2,0.3,0.25,0.3,0.263955299032048
confOf-edas,0.153846153846154,0.179487179487179,0.166666666666667,0.179487179487179,0.171078425618331
confOf-ekaw,0.32258064516129,0.483870967741936,0.403225806451613,0.548387096774194,0.445455146280422
edas-cmt,0.235294117647059,0.441176470588235,0.382352941176471,0.470588235294118,0.354964373846402
edas-conference,0.178571428571429,0.214285714285714,0.196428571428571,0.25,0.212542594240285
edas-confOf,0.153846153846154,0.179487179487179,0.166666666666667,0.179487179487179,0.171078425618331
edas-ekaw,0.346153846153846,0.384615384615385,0.365384615384615,0.384615384615385,0.372002253812112
ekaw-cmt,0.086956521739131,0.304347826086957,0.195652173913043,0.304347826086957,0.205141046799537
ekaw-conference,0.267857142857143,0.357142857142857,0.339285714285714,0.410714285714286,0.324620983288641
ekaw-confOf,0.32258064516129,0.435483870967742,0.403225806451613,0.548387096774194,0.42057443388277
ekaw-edas,0.307692307692308,0.346153846153846,0.326923076923077,0.346153846153846,0.333540715350573
,0.228957981768233,0.310818363651129,0.277229225092815,0.337557970602871,0.287351796215614
