cqa,best_q_prec,best_q_fmeasure,best_q_rec
workshop_of_conference,0.0,0.0,0.0
pc_chair,0.0,0.0,0.0
tutorial,1.0,1.0,1.0
assigned_reviewer,0.0,0.0,0.0
tutorial_of_conference,0.0,0.0,0.0
reviewers_all,0.0,0.0,0.0
invited_talk_abstract,0.0,0.0,0.0
conference_proceedings,1.0,1.0,1.0
abstract_of_invited_talk,0.0,0.0,0.0
conference_site,0.0,0.0,0.0
person_name,0.0,0.0,0.0
workshop,1.0,1.0,1.0
is_assigned_reviewer_of,0.0,0.0,0.0
late_registered_participant,0.0,0.0,0.0
topic,0.0,0.0,0.0
conference_site_url,0.0,0.0,0.0
external_reviewer,0.0,0.0,0.0
publisher,0.0,0.0,0.0
person,1.0,1.0,1.0
paper,0.0,0.0,0.0
workshop_topic,0.0,0.0,0.0
paper_title,1.0,1.0,1.0
paper_presentation,0.0,0.0,0.0
accepted_paper,0.0,0.0,0.0
regular_paper,0.6046511627906976,0.7536231884057971,1.0
early_registration,0.0,0.0,0.0
workshop_chair,0.019148936170212766,0.037578288100208766,1.0
invited_speaker_of_talk,0.0,0.0,0.0
rejected_paper,0.5948837209302326,0.7459900845727617,1.0
early_registered_participant,0.9170212765957447,0.9567147613762487,1.0
author,1.0,1.0,1.0
assigned_reviewer_author_of_review,0.0,0.0,0.0
review,1.0,1.0,1.0
conference_proceedings_name,0.0,0.0,0.0
conference_location,0.0,0.0,0.0
is_author_of_paper,0.0,0.0,0.0
conference_name,0.0,0.0,0.0
pc_member,0.2914129110840438,0.43939393939393934,0.8927238805970149
track,1.0,1.0,1.0
review_of_paper,1.0,1.0,1.0
chair_of_workshop,0.0,0.0,0.0
presentation_in_conference,0.0,0.0,0.0
presentation_of_paper,0.0,0.0,0.0
oc_member,0.12936170212765957,0.22908816880180857,1.0
tutorial_topic,0.0,0.0,0.0
sc_member,0.04628501827040195,0.08750719631548647,0.8
oc_chair,0.002127659574468085,0.004246284501061571,1.0
conference,0.0,0.0,0.0
participant,0.9370212765957446,0.9674868189806678,1.0
proceedings_publisher,0.0,0.0,0.0
invite_reviewer,0.0,0.0,0.0
invited_speaker,1.0,1.0,1.0
all_reviewer_author_of_review,1.0,1.0,1.0
invited_talk,1.0,1.0,1.0
author_of_inv_talk_abstract,0.0,0.0,0.0
track_of_conference,0.0,0.0,0.0
global mean,0.2775341725739144,0.28967194161514254,0.3695129264392324

