cqa,best_q_prec,best_q_fmeasure,best_q_rec
workshop_of_conference,0.0,0.0,0.0
pc_chair,0.0,0.0,0.0
tutorial,1.0,1.0,1.0
assigned_reviewer,0.0,0.0,0.0
tutorial_of_conference,0.0,0.0,0.0
reviewers_all,0.9622166246851386,0.9807445442875482,1.0
invited_talk_abstract,0.0,0.0,0.0
conference_proceedings,1.0,1.0,1.0
abstract_of_invited_talk,0.0,0.0,0.0
conference_site,0.0,0.0,0.0
person_name,0.0,0.0,0.0
workshop,1.0,1.0,1.0
is_assigned_reviewer_of,0.0,0.0,0.0
late_registered_participant,0.016192875134940627,0.03184713375796178,0.9574468085106383
topic,0.0,0.0,0.0
conference_site_url,0.0,0.0,0.0
external_reviewer,0.5764663548038863,0.7313398767404703,1.0
publisher,0.0,0.0,0.0
person,1.0,1.0,1.0
paper,0.0,0.0,0.0
workshop_topic,0.0,0.0,0.0
paper_title,1.0,1.0,1.0
paper_presentation,0.0,0.0,0.0
accepted_paper,0.0,0.0,0.0
regular_paper,0.6046511627906976,0.7536231884057971,1.0
early_registration,0.0,0.0,0.0
workshop_chair,0.016192875134940627,0.03186968838526912,1.0
invited_speaker_of_talk,0.0,0.0,0.0
rejected_paper,0.5948837209302326,0.7459900845727617,1.0
early_registered_participant,0.49528843943920936,0.6624654165385797,1.0
author,0.75476901861641,0.860248853962017,1.0
assigned_reviewer_author_of_review,0.0,0.0,0.0
review,1.0,1.0,1.0
conference_proceedings_name,0.0,0.0,0.0
conference_location,0.0,0.0,0.0
is_author_of_paper,0.0,0.0,0.0
conference_name,0.0,0.0,0.0
pc_member,0.3857502698812523,0.5567385094780577,1.0
track,1.0,1.0,1.0
review_of_paper,0.0,0.0,0.0
chair_of_workshop,0.0,0.0,0.0
presentation_in_conference,0.0,0.0,0.0
presentation_of_paper,0.0,0.0,0.0
oc_member,0.07412738395106153,0.1336360687641907,0.6776315789473685
tutorial_topic,0.0,0.0,0.0
sc_member,0.06836991723641597,0.12798922196025597,1.0
oc_chair,0.0014393666786613889,0.002873563218390804,0.8
conference,0.0,0.0,0.0
participant,0.5060905538956562,0.6720585991149092,1.0
proceedings_publisher,0.0,0.0,0.0
invite_reviewer,0.0,0.0,0.0
invited_speaker,1.0,1.0,1.0
all_reviewer_author_of_review,0.0,0.0,0.0
invited_talk,1.0,1.0,1.0
author_of_inv_talk_abstract,0.0,0.0,0.0
track_of_conference,0.0,0.0,0.0
global mean,0.2510078314853304,0.273061156235468,0.382769256918893

