pair,classical,recall oriented,precision oriented,overlap,query f-measure,not disjoint
cmt-conference,0.444444444444444,0.611111111111111,0.611111111111111,0.666666666666667,0.559625505300892,0.777777777777778
cmt-confOf,0.444444444444444,0.555555555555556,0.666666666666667,0.666666666666667,0.57010582010582,0.777777777777778
cmt-edas,0.454545454545455,0.590909090909091,0.590909090909091,0.727272727272727,0.648247913551749,0.818181818181818
cmt-ekaw,0.333333333333333,0.611111111111111,0.555555555555556,0.777777777777778,0.649795674884406,0.777777777777778
conference-cmt,0.444444444444444,0.611111111111111,0.611111111111111,0.666666666666667,0.559625505300892,0.777777777777778
conference-confOf,0.7,0.8,0.75,0.8,0.724160079051383,0.9
conference-edas,0.583333333333333,0.75,0.666666666666667,0.833333333333333,0.748535079195063,0.916666666666667
conference-ekaw,0.692307692307692,0.923076923076923,0.807692307692308,1,0.901598615112997,1
confOf-cmt,0.444444444444444,0.666666666666667,0.555555555555556,0.666666666666667,0.57010582010582,0.777777777777778
confOf-conference,0.7,0.75,0.8,0.8,0.724160079051383,0.9
confOf-edas,0.368421052631579,0.526315789473684,0.526315789473684,0.631578947368421,0.556492102495512,0.947368421052632
confOf-ekaw,0.538461538461538,0.846153846153846,0.692307692307692,0.923076923076923,0.73018788607751,0.923076923076923
edas-cmt,0.454545454545455,0.590909090909091,0.590909090909091,0.727272727272727,0.648247913551749,0.818181818181818
edas-conference,0.583333333333333,0.666666666666667,0.75,0.833333333333333,0.748535079195063,0.916666666666667
edas-confOf,0.368421052631579,0.526315789473684,0.526315789473684,0.631578947368421,0.556492102495512,0.947368421052632
edas-ekaw,0.411764705882353,0.647058823529412,0.529411764705882,0.764705882352941,0.685220260526886,0.882352941176471
ekaw-cmt,0.333333333333333,0.555555555555556,0.611111111111111,0.777777777777778,0.649795674884406,0.777777777777778
ekaw-conference,0.692307692307692,0.807692307692308,0.923076923076923,1,0.901598615112997,1
ekaw-confOf,0.538461538461538,0.692307692307692,0.846153846153846,0.923076923076923,0.73018788607751,0.923076923076923
ekaw-edas,0.411764705882353,0.529411764705882,0.647058823529412,0.764705882352941,0.685220260526885,0.882352941176471
,0.497105599938417,0.662896444800469,0.662896444800469,0.779107892451546,0.677396893630222,0.872098010348785
