pair,equiv,recall oriented, precision oriented,overlap,f-measure
cmt-conference,0.206896551724138,0.293103448275862,0.275862068965517,0.379310344827586,0.32276584686882
cmt-confOf,0.25,0.25,0.25,0.3125,0.277449518127581
cmt-edas,0.352941176470588,0.352941176470588,0.352941176470588,0.352941176470588,0.352941176470588
cmt-ekaw,0.173913043478261,0.347826086956522,0.260869565217391,0.347826086956522,0.296763540868875
conference-cmt,0.137931034482759,0.189655172413793,0.241379310344828,0.275862068965517,0.244669135033004
conference-confOf,0.2,0.333333333333333,0.266666666666667,0.333333333333333,0.286357252335878
conference-edas,0.357142857142857,0.428571428571429,0.392857142857143,0.464285714285714,0.423410251054293
conference-ekaw,0.214285714285714,0.339285714285714,0.276785714285714,0.375,0.289671941615143
confOf-cmt,0.25,0.25,0.25,0.3125,0.277449518127581
confOf-conference,0.266666666666667,0.4,0.333333333333333,0.4,0.349380417908285
confOf-edas,0.179487179487179,0.205128205128205,0.192307692307692,0.205128205128205,0.196719451259357
confOf-ekaw,0.290322580645161,0.419354838709678,0.354838709677419,0.516129032258065,0.397852816760782
edas-cmt,0.294117647058824,0.5,0.441176470588235,0.529411764705882,0.413787903258167
edas-conference,0.357142857142857,0.464285714285714,0.464285714285714,0.571428571428571,0.50485361788802
edas-confOf,0.179487179487179,0.217948717948718,0.217948717948718,0.230769230769231,0.216043122756941
edas-ekaw,0.346153846153846,0.384615384615385,0.365384615384615,0.384615384615385,0.372002253812112
ekaw-cmt,0.173913043478261,0.304347826086957,0.239130434782609,0.347826086956522,0.256575774435122
ekaw-conference,0.196428571428571,0.303571428571429,0.276785714285714,0.392857142857143,0.278109873203489
ekaw-confOf,0.225806451612903,0.403225806451613,0.338709677419355,0.483870967741936,0.350155119830561
ekaw-edas,0.307692307692308,0.384615384615385,0.346153846153846,0.384615384615385,0.366627209733728
,0.248016435421904,0.338590483336016,0.306870828548755,0.380010524795779,0.323679287067416
