cqa,best_q_prec,best_q_fmeasure,best_q_rec
trip_location,0.0,0.0,0.0
pc_chair,0.0,0.0,0.0
tutorial,0.0,0.0,0.0
assigned_reviewer,0.0,0.0,0.0
person_name,0.0,0.0,0.0
workshop,1.0,1.0,1.0
is_assigned_reviewer_of,0.0,0.0,0.0
late_registered_participant,0.0,0.0,0.0
topic,0.0,0.0,0.0
conference_topic,0.0,0.0,0.0
gala_dinner_location,0.0,0.0,0.0
person,1.0,1.0,1.0
gala_dinner,0.0,0.0,0.0
trip,0.0,0.0,0.0
paper,0.0,0.0,0.0
workshop_topic,0.0,0.0,0.0
paper_title,0.0,0.0,0.0
regular_paper,0.0,0.0,0.0
student,0.27074235807860264,0.42611683848797255,1.0
early_registration,0.0,0.0,0.0
early_registered_participant,0.49528843943920936,0.6624654165385797,1.0
author,0.75476901861641,0.860248853962017,1.0
topic_of_paper,0.0,0.0,0.0
university,0.0,0.0,0.0
conference_location,0.0,0.0,0.0
is_author_of_paper,0.0,0.0,0.0
conference_name,0.0,0.0,0.0
pc_member,0.24638014249597795,0.39535312557624935,1.0
tutorial_topic,0.0,0.0,0.0
conference,1.0,1.0,1.0
participant,0.5060905538956562,0.6720585991149092,1.0
global mean,0.17010550040405986,0.1940723494735396,0.25806451612903225

