cqa,best_q_prec,best_q_fmeasure,best_q_rec
pc_chair,1.0,1.0,1.0
assigned_reviewer,0.8,0.007428040854224698,0.0037313432835820895
reviewers_all,0.8,0.0029861888764464353,0.0014958863126402393
person_name,0.0,0.0,0.0
is_assigned_reviewer_of,0.0,0.0,0.0
topic,0.0,0.0,0.0
conference_site_url,0.0,0.0,0.0
external_reviewer,0.0,0.0,0.0
person,1.0,1.0,1.0
paper,0.0,0.0,0.0
paper_title,0.0,0.0,0.0
accepted_paper,0.0,0.0,0.0
rejected_paper,0.0,0.0,0.0
author,0.75476901861641,0.860248853962017,1.0
topic_of_paper,0.0,0.0,0.0
assigned_reviewer_author_of_review,0.0,0.0,0.0
review,1.0,1.0,1.0
is_author_of_paper,0.0,0.0,0.0
conference_name,0.0,0.0,0.0
pc_member,0.8434303697875688,0.9150661545027743,1.0
site_url_of_conference,0.0,0.0,0.0
conference,1.0,1.0,1.0
invite_reviewer,0.0,0.0,0.0
global mean,0.312965190800173,0.25155344513893313,0.261096836069401

