pair,equiv,recall oriented, precision oriented,overlap,f-measure
cmt-conference,0.206896551724138,0.344827586206897,0.275862068965517,0.413793103448276,0.34768543291076
cmt-confOf,0.375,0.375,0.375,0.4375,0.375464252553389
cmt-edas,0.411764705882353,0.411764705882353,0.411764705882353,0.411764705882353,0.411764705882353
cmt-ekaw,0.173913043478261,0.260869565217391,0.217391304347826,0.347826086956522,0.251553445138933
conference-cmt,0.137931034482759,0.241379310344828,0.241379310344828,0.310344827586207,0.269588721074944
conference-confOf,0.2,0.366666666666667,0.283333333333333,0.366666666666667,0.299690585669211
conference-edas,0.357142857142857,0.428571428571429,0.392857142857143,0.464285714285714,0.423410251054293
conference-ekaw,0.160714285714286,0.339285714285714,0.25,0.339285714285714,0.237978613624396
confOf-cmt,0.375,0.4375,0.40625,0.5,0.417130919220056
confOf-conference,0.266666666666667,0.4,0.333333333333333,0.4,0.353023919002544
confOf-edas,0.282051282051282,0.282051282051282,0.282051282051282,0.282051282051282,0.282051282051282
confOf-ekaw,0.193548387096774,0.387096774193548,0.290322580645161,0.451612903225806,0.334642908670624
edas-cmt,0.235294117647059,0.529411764705882,0.470588235294118,0.588235294117647,0.40959611521186
edas-conference,0.321428571428571,0.464285714285714,0.446428571428571,0.607142857142857,0.479706634258504
edas-confOf,0.282051282051282,0.294871794871795,0.307692307692308,0.307692307692308,0.301374953548867
edas-ekaw,0.346153846153846,0.423076923076923,0.384615384615385,0.423076923076923,0.405088748195266
ekaw-cmt,0.173913043478261,0.391304347826087,0.282608695652174,0.478260869565217,0.292550361135654
ekaw-conference,0.178571428571429,0.339285714285714,0.285714285714286,0.392857142857143,0.274773731711243
ekaw-confOf,0.225806451612903,0.403225806451613,0.338709677419355,0.483870967741936,0.350155119830561
ekaw-edas,0.307692307692308,0.384615384615385,0.346153846153846,0.384615384615385,0.366627209733728
,0.260576993143752,0.375254524176961,0.331102803286541,0.419544137559898,0.344192895523924
