pair,classical,recall oriented,precision oriented,overlap,query f-measure,not disjoint
cmt-conference,0.5,0.6875,0.6875,0.875,0.629831320787675,1
cmt-confOf,0.461538461538462,0.615384615384615,0.653846153846154,0.692307692307692,0.619799917854838,0.769230769230769
cmt-edas,0.384615384615385,0.615384615384615,0.615384615384615,0.769230769230769,0.619958973252463,0.846153846153846
cmt-ekaw,0.4,0.65,0.6,0.8,0.720741403569695,0.8
conference-cmt,0.5,0.6875,0.6875,0.875,0.629831320787675,1
conference-confOf,0.583333333333333,0.75,0.666666666666667,0.75,0.636800065876153,0.833333333333333
conference-edas,0.5,0.678571428571429,0.642857142857143,0.785714285714286,0.642797954935802,0.857142857142857
conference-ekaw,0.666666666666667,0.866666666666667,0.766666666666667,0.933333333333333,0.849040059663322,0.933333333333333
confOf-cmt,0.461538461538462,0.653846153846154,0.615384615384615,0.692307692307692,0.619799917854838,0.769230769230769
confOf-conference,0.583333333333333,0.666666666666667,0.75,0.75,0.636800065876153,0.833333333333333
confOf-edas,0.428571428571429,0.571428571428571,0.571428571428571,0.666666666666667,0.598730949876892,0.952380952380952
confOf-ekaw,0.538461538461538,0.846153846153846,0.692307692307692,0.923076923076923,0.795770475025555,0.923076923076923
edas-cmt,0.384615384615385,0.615384615384615,0.615384615384615,0.769230769230769,0.619958973252464,0.846153846153846
edas-conference,0.5,0.642857142857143,0.678571428571429,0.785714285714286,0.642797954935802,0.857142857142857
edas-confOf,0.428571428571429,0.571428571428571,0.571428571428571,0.666666666666667,0.598730949876892,0.952380952380952
edas-ekaw,0.444444444444444,0.666666666666667,0.555555555555556,0.777777777777778,0.703531295968773,0.888888888888889
ekaw-cmt,0.4,0.6,0.65,0.8,0.720741403569695,0.8
ekaw-conference,0.666666666666667,0.766666666666667,0.866666666666667,0.933333333333333,0.849040059663322,0.933333333333333
ekaw-confOf,0.538461538461538,0.692307692307692,0.846153846153846,0.923076923076923,0.795770475025555,0.923076923076923
ekaw-edas,0.444444444444444,0.555555555555556,0.666666666666667,0.777777777777778,0.703531295968773,0.888888888888889
,0.490763125763126,0.669998473748474,0.669998473748474,0.797310744810745,0.681700241681117,0.88035409035409
