cqa,best_q_prec,best_q_fmeasure,best_q_rec
conference_end_date,0.0,0.0,0.0
paper_submitted_at_conference,0.0,0.0,0.0
reviewers_all,0.0,0.0,0.0
presenter_of_paper_presentation,0.0,0.0,0.0
person_name,0.0,0.0,0.0
workshop,0.0,0.0,0.0
person_last_name,0.0,0.0,0.0
conference_paper_date,0.0,0.0,0.0
topic,0.0,0.0,0.0
presenter,0.0,0.0,0.0
person,0.0,0.0,0.0
paper,0.0,0.0,0.0
paper_title,0.0,0.0,0.0
paper_presentation,0.0,0.0,0.0
conference_start_date,0.0,0.0,0.0
accepted_paper,0.0,0.0,0.0
conference_camera_date,0.0,0.0,0.0
rejected_paper,0.0,0.0,0.0
author,0.0,0.0,0.0
review,0.0,0.0,0.0
is_author_of_paper,0.0,0.0,0.0
conference_name,0.0,0.0,0.0
presentation_in_conference,0.0,0.0,0.0
presentation_of_paper,0.0,0.0,0.0
conference,0.0,0.0,0.0
participant,0.0,0.0,0.0
person_first_name,0.0,0.0,0.0
all_reviewer_author_of_review,0.0,0.0,0.0
global mean,0.0,0.0,0.0

