cqa,best_q_prec,best_q_fmeasure,best_q_rec
trip_location,0.0,0.0,0.0
pc_chair,1.0,1.0,1.0
tutorial,1.0,1.0,1.0
assigned_reviewer,1.0,1.0,1.0
person_name,0.0,0.0,0.0
workshop,1.0,1.0,1.0
is_assigned_reviewer_of,1.0,1.0,1.0
late_registered_participant,0.4,0.07692307692307691,0.0425531914893617
topic,0.0,0.0,0.0
conference_topic,0.0,0.0,0.0
gala_dinner_location,0.0,0.0,0.0
person,1.0,1.0,1.0
gala_dinner,1.0,1.0,1.0
trip,1.0,1.0,1.0
paper,1.0,0.7536231884057971,0.6046511627906976
workshop_topic,0.0,0.0,0.0
paper_title,0.0,0.0,0.0
regular_paper,1.0,1.0,1.0
student,0.27074235807860264,0.42611683848797255,1.0
early_registration,0.0,0.0,0.0
early_registered_participant,0.49528843943920936,0.6624654165385797,1.0
author,0.75476901861641,0.860248853962017,1.0
topic_of_paper,0.0,0.0,0.0
university,1.0,1.0,1.0
conference_location,0.0,0.0,0.0
is_author_of_paper,0.0,0.0,0.0
conference_name,0.0,0.0,0.0
pc_member,1.0,0.9990680335507922,0.9981378026070763
tutorial_topic,0.0,0.0,0.0
conference,1.0,1.0,1.0
participant,0.5060905538956562,0.6720585991149092,1.0
global mean,0.4976416248396735,0.4984033550639723,0.5369465211899075

