pair,equiv,recall oriented, precision oriented,overlap,f-measure
cmt-conference,0,0,0,0,0
cmt-confOf,0.4375,0.4375,0.4375,0.5,0.437964252553389
cmt-edas,0.470588235294118,0.470588235294118,0.470588235294118,0.470588235294118,0.470588235294118
cmt-ekaw,0.217391304347826,0.260869565217391,0.239130434782609,0.347826086956522,0.257629581923193
conference-cmt,0,0,0,0,0
conference-confOf,0,0,0,0,0
conference-edas,0,0,0,0,0
conference-ekaw,0,0,0,0,0
confOf-cmt,0.375,0.4375,0.40625,0.5625,0.444580437347637
confOf-conference,0,0,0,0,0
confOf-edas,0.256410256410256,0.282051282051282,0.269230769230769,0.282051282051282,0.273642528182434
confOf-ekaw,0.483870967741936,0.612903225806452,0.548387096774194,0.645161290322581,0.576987591591487
edas-cmt,0.352941176470588,0.617647058823529,0.529411764705882,0.647058823529412,0.472746318084771
edas-conference,0,0,0,0,0
edas-confOf,0.230769230769231,0.269230769230769,0.269230769230769,0.282051282051282,0.267325174038992
edas-ekaw,0.346153846153846,0.384615384615385,0.365384615384615,0.384615384615385,0.372002253812112
ekaw-cmt,0.173913043478261,0.391304347826087,0.282608695652174,0.478260869565217,0.292550361135654
ekaw-conference,0,0,0,0,0
ekaw-confOf,0.354838709677419,0.516129032258065,0.483870967741936,0.580645161290323,0.498403355063972
ekaw-edas,0.307692307692308,0.384615384615385,0.346153846153846,0.384615384615385,0.366627209733728
,0.200353453901789,0.253247714286923,0.232387359747546,0.278268690014575,0.236552364938074
