cqa,best_q_prec,best_q_fmeasure,best_q_rec
pc_chair,0.5,0.6666666666666666,1.0
assigned_reviewer,1.0,1.0,1.0
person_name,0.0,0.0,0.0
is_assigned_reviewer_of,1.0,1.0,1.0
topic,0.0,0.0,0.0
person,1.0,1.0,1.0
paper,1.0,0.9939167056621432,0.987906976744186
paper_title,0.0,0.0,0.0
conference_start_date,0.0,0.0,0.0
author,1.0,1.0,1.0
topic_of_paper,0.5,0.6666666666666666,1.0
administrator,1.0,1.0,1.0
is_author_of_paper,1.0,1.0,1.0
conference_name,1.0,1.0,1.0
pc_member,1.0,0.9990680335507922,0.9981378026070763
conference,1.0,1.0,1.0
global mean,0.6875,0.7078948795341418,0.7491277987094538

