cqa,best_q_prec,best_q_fmeasure,best_q_rec
conference_end_date,0.0,0.0,0.0
trip_location,0.0,0.0,0.0
workshop_start_date,0.0,0.0,0.0
person_name,0.0,0.0,0.0
gala_dinner_start_date,0.0,0.0,0.0
trip_end_date,0.0,0.0,0.0
workshop,1.0,1.0,1.0
person_last_name,0.0,0.0,0.0
reception_location,1.0,1.0,1.0
conference_paper_date,0.0,0.0,0.0
workshop_submission_date,0.0,0.0,0.0
topic,1.0,1.0,1.0
conference_regis_date,0.0,0.0,0.0
conference_topic,0.0,0.0,0.0
workshop_end_date,0.0,0.0,0.0
gala_dinner_location,0.0,0.0,0.0
person,1.0,1.0,1.0
gala_dinner,0.0,0.0,0.0
trip,0.0,0.0,0.0
paper,0.19265232974910393,0.32306536438767847,1.0
gala_dinner_end_date,0.0,0.0,0.0
paper_title,0.0,0.0,0.0
workshop_camera_date,0.0,0.0,0.0
conference_start_date,0.0,0.0,0.0
conference_camera_date,0.0,0.0,0.0
workshop_notif_date,0.0,0.0,0.0
reception_end_date,0.0,0.0,0.0
author,1.0,1.0,1.0
topic_of_paper,0.9872954940133443,0.9936071379294485,1.0
university,0.0,0.0,0.0
is_author_of_paper,1.0,1.0,1.0
conference_name,1.0,1.0,1.0
trip_start_date,0.0,0.0,0.0
reception,1.0,1.0,1.0
conference,1.0,1.0,1.0
participant,0.5380667236954663,0.6610614818707305,0.8569482288828338
company,0.0,0.0,0.0
reception_start_date,0.0,0.0,0.0
person_first_name,0.0,0.0,0.0
global mean,0.2748208858322542,0.2814803585689194,0.3040243135610983

