cqa,best_q_prec,best_q_fmeasure,best_q_rec
reviewers_all,1.0,0.5723438334223171,0.40089753178758414
person_name,0.0,0.0,0.0
conference_chair,1.0,1.0,1.0
topic,0.0,0.0,0.0
person,1.0,1.0,1.0
paper,1.0,1.0,1.0
paper_title,0.0,0.0,0.0
conference_start_date,0.0,0.0,0.0
accepted_paper,1.0,1.0,1.0
rejected_paper,1.0,1.0,1.0
author,1.0,1.0,1.0
topic_of_paper,1.0,1.0,1.0
review,1.0,1.0,1.0
member_of_conference,1.0,1.0,1.0
is_author_of_paper,1.0,0.8202772816194608,0.6953136265320836
conference_name,0.001147842056932966,0.002293052052281587,1.0
conference,1.0,1.0,1.0
global mean,0.7059498730621725,0.6702890686525917,0.7115418328423334

