cqa,best_q_prec,best_q_fmeasure,best_q_rec
trip_location,0.0,0.0,0.0
pc_chair,0.0,0.0,0.0
tutorial,1.0,1.0,1.0
assigned_reviewer,0.0,0.0,0.0
person_name,0.0,0.0,0.0
workshop,1.0,1.0,1.0
is_assigned_reviewer_of,1.0,1.0,1.0
late_registered_participant,0.02134423251589464,0.04179635393508226,1.0
topic,0.0,0.0,0.0
conference_topic,0.0,0.0,0.0
gala_dinner_location,0.0,0.0,0.0
person,1.0,1.0,1.0
gala_dinner,0.0,0.0,0.0
trip,0.0,0.0,0.0
paper,1.0,0.7536231884057971,0.6046511627906976
workshop_topic,0.0,0.0,0.0
paper_title,0.0,0.0,0.0
regular_paper,0.0,0.0,0.0
student,0.0,0.0,0.0
early_registration,0.0,0.0,0.0
early_registered_participant,0.9786557674841053,0.9892127610741335,1.0
author,1.0,1.0,1.0
topic_of_paper,1.0,0.7546691261240488,0.6059988890946121
university,0.0,0.0,0.0
conference_location,0.0,0.0,0.0
is_author_of_paper,1.0,0.7520244736368543,0.6025955299206921
conference_name,0.0,0.0,0.0
pc_member,0.0,0.0,0.0
tutorial_topic,0.0,0.0,0.0
conference,1.0,1.0,1.0
participant,1.0,1.0,1.0
global mean,0.3548387096774194,0.33197825494115857,0.3488143736066452

