pair,equiv,recall oriented, precision oriented,overlap,f-measure
cmt-conference,0.275862068965517,0.620689655172414,0.448275862068966,0.620689655172414,0.533855654350237
cmt-confOf,0.5,0.5625,0.53125,0.5625,0.50253036437247
cmt-edas,0.647058823529412,0.647058823529412,0.647058823529412,0.647058823529412,0.647058823529412
cmt-ekaw,0.347826086956522,0.565217391304348,0.652173913043478,0.695652173913043,0.589542674831705
conference-cmt,0.413793103448276,0.448275862068966,0.482758620689655,0.482758620689655,0.454703359697509
conference-confOf,0.3,0.433333333333333,0.366666666666667,0.433333333333333,0.351565028543741
conference-edas,0.357142857142857,0.428571428571429,0.392857142857143,0.428571428571429,0.38069986373349
conference-ekaw,0.375,0.464285714285714,0.446428571428571,0.5,0.472543166261016
confOf-cmt,0.5,0.6875,0.6875,0.75,0.707894879534142
confOf-conference,0.266666666666667,0.433333333333333,0.35,0.466666666666667,0.396913196289849
confOf-edas,0.230769230769231,0.282051282051282,0.256410256410256,0.307692307692308,0.281480358568919
confOf-ekaw,0.290322580645161,0.451612903225806,0.370967741935484,0.451612903225806,0.42209441259647
edas-cmt,0.588235294117647,0.705882352941176,0.735294117647059,0.764705882352941,0.670289068652592
edas-conference,0.392857142857143,0.553571428571429,0.553571428571429,0.607142857142857,0.527039088123836
edas-confOf,0.333333333333333,0.487179487179487,0.448717948717949,0.512820512820513,0.391694041992757
edas-ekaw,0.615384615384615,0.769230769230769,0.75,0.807692307692308,0.721997623341135
ekaw-cmt,0.434782608695652,0.521739130434783,0.608695652173913,0.608695652173913,0.584798019703317
ekaw-conference,0.303571428571429,0.553571428571429,0.482142857142857,0.607142857142857,0.497520051938101
ekaw-confOf,0.225806451612903,0.338709677419355,0.354838709677419,0.387096774193548,0.331978254941159
ekaw-edas,0.576923076923077,0.653846153846154,0.615384615384615,0.692307692307692,0.636936265556306
,0.398766768480972,0.530408007753531,0.509049646397244,0.566707022431035,0.505156709827908
