pair,classical,recall oriented,precision oriented,overlap,query f-measure,not disjoint
cmt-conference,0.153225806451613,0.548387096774194,0.471774193548387,0.862903225806452,0.484284399450471,0.903225806451613
cmt-confOf,0.219512195121951,0.707317073170732,0.536585365853659,0.829268292682927,0.604653627325713,0.975609756097561
cmt-edas,0.136842105263158,0.468421052631579,0.357894736842105,0.852631578947368,0.420672389009602,0.968421052631579
cmt-ekaw,0.074626865671642,0.447761194029851,0.507462686567164,0.895522388059701,0.391350486861015,0.970149253731343
conference-cmt,0.144230769230769,0.461538461538462,0.5625,0.788461538461538,0.49851330709455,0.846153846153846
conference-confOf,0.25,0.568181818181818,0.579545454545455,0.727272727272727,0.553468981372457,0.727272727272727
conference-edas,0.190476190476191,0.476190476190476,0.428571428571429,0.746031746031746,0.405491804659852,0.793650793650794
conference-ekaw,0.192307692307692,0.400641025641026,0.483974358974359,0.756410256410256,0.448319665685226,0.775641025641026
confOf-cmt,0.192307692307692,0.596153846153846,0.769230769230769,1,0.7550253586238,1
confOf-conference,0.388888888888889,0.791666666666667,0.652777777777778,1,0.734317979280279,1
confOf-edas,0.137254901960784,0.411764705882353,0.42156862745098,0.666666666666667,0.449036247527399,0.666666666666667
confOf-ekaw,0.169811320754717,0.490566037735849,0.471698113207547,0.830188679245283,0.434052828592201,0.830188679245283
edas-cmt,0.27027027027027,0.547297297297297,0.682432432432432,0.918918918918919,0.542724953957705,0.972972972972973
edas-conference,0.373134328358209,0.716417910447761,0.723880597014925,0.970149253731343,0.622804133074436,0.970149253731343
edas-confOf,0.207547169811321,0.452830188679245,0.415094339622642,0.60377358490566,0.391951591265411,0.60377358490566
edas-ekaw,0.160839160839161,0.405594405594406,0.440559440559441,0.874125874125874,0.453510427293538,0.874125874125874
ekaw-cmt,0.302325581395349,0.523255813953488,0.622093023255814,0.918604651162791,0.579929433179211,0.918604651162791
ekaw-conference,0.297297297297297,0.635135135135135,0.621621621621622,0.927927927927928,0.62399171878487,0.927927927927928
ekaw-confOf,0.310344827586207,0.637931034482759,0.810344827586207,0.931034482758621,0.612036994090685,0.931034482758621
ekaw-edas,0.104651162790698,0.418604651162791,0.418604651162791,0.906976744186046,0.460039020988703,0.918604651162791
,0.213794711339181,0.535282794567487,0.548910722291275,0.850343426865093,0.523308767405856,0.878708650314521
