pair,classical,recall oriented,precision oriented,overlap,query f-measure,not disjoint
cmt-conference,0.666666666666667,0.916666666666667,0.916666666666667,1,0.839438257951339,1
cmt-confOf,,,,,,
cmt-edas,,,,,,
cmt-ekaw,,,,,,
conference-cmt,0.666666666666667,0.916666666666667,0.916666666666667,1,0.839438257951339,1
conference-confOf,0.7,0.8,0.75,0.8,0.724160079051383,0.9
conference-edas,,,,,,
conference-ekaw,,,,,,
confOf-cmt,,,,,,
confOf-conference,0.7,0.75,0.8,0.8,0.724160079051383,0.9
confOf-edas,0.333333333333333,0.476190476190476,0.476190476190476,0.571428571428571,0.503492854638796,0.857142857142857
confOf-ekaw,0.545454545454545,0.818181818181818,0.681818181818182,0.909090909090909,0.766627238305426,0.909090909090909
edas-cmt,,,,,,
edas-conference,,,,,,
edas-confOf,0.333333333333333,0.476190476190476,0.476190476190476,0.571428571428571,0.503492854638796,0.857142857142857
edas-ekaw,0.416666666666667,0.666666666666667,0.541666666666667,0.833333333333333,0.722333323722459,1
ekaw-cmt,,,,,,
ekaw-conference,,,,,,
ekaw-confOf,0.545454545454545,0.681818181818182,0.818181818181818,0.909090909090909,0.766627238305426,0.909090909090909
ekaw-edas,0.5,0.625,0.75,0.875,0.791459213149944,1
,0.540757575757576,0.712738095238095,0.712738095238095,0.826937229437229,0.718122939676629,0.933246753246753
