pair,equiv,recall oriented, precision oriented,overlap,f-measure
cmt-conference,0.137931034482759,0.241379310344828,0.189655172413793,0.275862068965517,0.23350564655409
cmt-confOf,0.25,0.25,0.25,0.3125,0.277449518127581
cmt-edas,0.294117647058824,0.294117647058824,0.294117647058824,0.294117647058824,0.294117647058824
cmt-ekaw,0.130434782608696,0.217391304347826,0.173913043478261,0.217391304347826,0.185026173023403
conference-cmt,0.103448275862069,0.241379310344828,0.172413793103448,0.241379310344828,0.191250513660892
conference-confOf,0.166666666666667,0.3,0.233333333333333,0.3,0.253023919002545
conference-edas,0.214285714285714,0.285714285714286,0.25,0.321428571428571,0.28055310819715
conference-ekaw,0.160714285714286,0.321428571428571,0.241071428571429,0.339285714285714,0.250659709776878
confOf-cmt,0.25,0.25,0.25,0.3125,0.277449518127581
confOf-conference,0.2,0.333333333333333,0.266666666666667,0.333333333333333,0.286357252335878
confOf-edas,0.205128205128205,0.230769230769231,0.217948717948718,0.230769230769231,0.222360476900382
confOf-ekaw,0.193548387096774,0.387096774193548,0.290322580645161,0.451612903225806,0.334642908670624
edas-cmt,0.294117647058824,0.470588235294118,0.382352941176471,0.470588235294118,0.380120618939207
edas-conference,0.178571428571429,0.321428571428571,0.303571428571429,0.464285714285714,0.371540136643345
edas-confOf,0.205128205128205,0.243589743589744,0.243589743589744,0.256410256410256,0.241684148397967
edas-ekaw,0.307692307692308,0.384615384615385,0.346153846153846,0.384615384615385,0.366627209733728
ekaw-cmt,0.130434782608696,0.347826086956522,0.239130434782609,0.347826086956522,0.248619307669103
ekaw-conference,0.178571428571429,0.339285714285714,0.285714285714286,0.392857142857143,0.274773731711243
ekaw-confOf,0.225806451612903,0.403225806451613,0.338709677419355,0.483870967741936,0.350155119830561
ekaw-edas,0.307692307692308,0.384615384615385,0.346153846153846,0.384615384615385,0.366627209733728
,0.206714477892005,0.312389234738616,0.265740929339061,0.340762462826805,0.284327193704736
