pair,classical,recall oriented,precision oriented,overlap,query f-measure,not disjoint
cmt-conference,0.666666666666667,0.916666666666667,0.916666666666667,1,0.839438257951339,1
cmt-confOf,0.8,0.9,1,1,0.892857142857143,1
cmt-edas,0.571428571428571,0.785714285714286,0.785714285714286,1,0.875818149867033,1
cmt-ekaw,0.6,0.7,0.8,1,0.917029707844151,1
conference-cmt,0.666666666666667,0.916666666666667,0.916666666666667,1,0.839438257951339,1
conference-confOf,0.75,0.875,0.8125,0.875,0.780200098814229,0.875
conference-edas,0.75,0.875,0.8125,1,0.872816981655975,1
conference-ekaw,0.75,0.916666666666667,0.833333333333333,1,0.895003121015118,1
confOf-cmt,0.8,1,0.9,1,0.892857142857143,1
confOf-conference,0.75,0.8125,0.875,0.875,0.780200098814229,0.875
confOf-edas,0.555555555555556,0.777777777777778,0.833333333333333,0.888888888888889,0.838836927048301,1
confOf-ekaw,0.666666666666667,0.777777777777778,0.722222222222222,0.888888888888889,0.76616544807353,0.888888888888889
edas-cmt,0.571428571428571,0.785714285714286,0.785714285714286,1,0.875818149867033,1
edas-conference,0.75,0.8125,0.875,1,0.872816981655975,1
edas-confOf,0.555555555555556,0.833333333333333,0.777777777777778,0.888888888888889,0.838836927048301,1
edas-ekaw,0.583333333333333,0.75,0.666666666666667,0.833333333333333,0.812918971331902,1
ekaw-cmt,0.6,0.8,0.7,1,0.917029707844151,1
ekaw-conference,0.75,0.833333333333333,0.916666666666667,1,0.895003121015118,1
ekaw-confOf,0.666666666666667,0.722222222222222,0.777777777777778,0.888888888888889,0.76616544807353,0.888888888888889
ekaw-edas,0.583333333333333,0.666666666666667,0.75,0.833333333333333,0.812918971331902,1
,0.669365079365079,0.822876984126984,0.822876984126984,0.948611111111111,0.849108480645872,0.976388888888889
