pair,classical,recall oriented,precision oriented,overlap,query f-measure,not disjoint
cmt-conference,0.108108108108108,0.148648648648649,0.148648648648649,0.162162162162162,0.136125122911028,0.297297297297297
cmt-confOf,0.166666666666667,0.1875,0.208333333333333,0.208333333333333,0.186011904761905,0.25
cmt-edas,0.113636363636364,0.147727272727273,0.147727272727273,0.181818181818182,0.162061978387937,0.340909090909091
cmt-ekaw,0.0625,0.0625,0.0625,0.083333333333333,0.081635039011544,0.229166666666667
conference-cmt,0.363636363636364,0.5,0.5,0.545454545454545,0.457875413428003,0.727272727272727
conference-confOf,0.222222222222222,0.259259259259259,0.240740740740741,0.259259259259259,0.23117039964866,0.407407407407407
conference-edas,0.127659574468085,0.148936170212766,0.138297872340426,0.170212765957447,0.148564592622294,0.319148936170213
conference-ekaw,0.183673469387755,0.224489795918367,0.204081632653061,0.244897959183673,0.219184437799621,0.428571428571429
confOf-cmt,0.8,1,0.9,1,0.892857142857143,1
confOf-conference,0.162162162162162,0.175675675675676,0.189189189189189,0.189189189189189,0.168691913257131,0.567567567567568
confOf-edas,0.136363636363636,0.181818181818182,0.193181818181818,0.204545454545455,0.19430755325988,0.545454545454545
confOf-ekaw,0.133333333333333,0.155555555555556,0.144444444444444,0.177777777777778,0.153233089614706,0.511111111111111
edas-cmt,0.3125,0.40625,0.40625,0.5,0.445670440566827,0.8125
edas-conference,0.157894736842105,0.171052631578947,0.184210526315789,0.210526315789474,0.183750943506521,0.552631578947368
edas-confOf,0.193548387096774,0.274193548387097,0.258064516129032,0.290322580645161,0.275791365917249,0.580645161290323
edas-ekaw,0.137254901960784,0.156862745098039,0.147058823529412,0.176470588235294,0.175588777568291,0.666666666666667
ekaw-cmt,0.15,0.2,0.175,0.25,0.229257426961038,0.5
ekaw-conference,0.214285714285714,0.25,0.285714285714286,0.30952380952381,0.279419068927377,0.476190476190476
ekaw-confOf,0.166666666666667,0.194444444444444,0.222222222222222,0.25,0.219195902095283,0.444444444444444
ekaw-edas,0.142857142857143,0.183673469387755,0.224489795918367,0.244897959183673,0.219602884643009,0.489795918367347
,0.202748472484694,0.2514293699356,0.249007756104402,0.282936260769588,0.252999769887272,0.507339051216734
