Bid	投标
Conference	会议
Decision	决定
Acceptance	录用
Rejection	拒收
Document	文件
Paper	论文
PaperAbstract	论文摘要
PaperFullVersion	论文全文
Review	审稿意见
Meta-Review	综合审稿意见
Person	人员
Chairman	主席
ConferenceMember	会议成员
AssociatedChair	副主席
Author	作者
AuthorNotReviewer	非审稿人的作者
Co-author	合著者
ConferenceChair	大会主席 
ProgramCommitteeMember	程序委员会成员
ProgramCommitteeChair	程序委员会主席
Reviewer	审稿人
Meta-Reviewer	综合审稿人
ExternalReviewer	外部审稿人
User	用户
Administrator	管理人员
Preference	偏爱	优先选择
ProgramCommittee	程序委员会
SubjectArea	主题领域
acceptedBy	由之录用
acceptPaper	录用论文
addedBy	由之增补
addProgramCommitteeMember	增补程序委员会成员
adjustBid	修改投标
adjustedBy	修改后投标
assignedByAdministrator	由管理人员指定
assignedByReviewer	由审稿人指定
assignedTo	分派给
assignExternalReviewer	指定外部审稿人
assignReviewer	指定审稿人
co-writePaper	合著
detailsEnteredBy	由之录入详情
enableVirtualMeeting	启用虚拟会议
endReview	结束审稿
enterConferenceDetails	录入会议详情
enterReviewCriteria	录入审稿标准
finalizePaperAssignment	论文分派定稿 
hardcopyMailingManifestsPrintedBy	由之打印硬拷贝邮件舱单
hasAuthor	有作者
hasBeenAssigned	有分派论文
hasBid	有投标
hasCo-author	有合著者 
hasConferenceMember	有会议成员
hasConflictOfInterest	有兴趣冲突
hasDecision	有决定
hasProgramCommitteeMember	有程序委员会成员
hasSubjectArea	有主题领域
markConflictOfInterest	标注兴趣冲突
memberOfConference	是会议成员
memberOfProgramCommittee	是程序委员会成员
paperAssignmentFinalizedBy	论文分派由之定稿
paperAssignmentToolsRunBy	论文分派工具由之运行
printHardcopyMailingManifests	打印硬拷贝邮件舱单
readByMeta-Reviewer	由综合审稿人审阅
readByReviewer	由审稿人审阅
readPaper	阅读论文
rejectedBy	由之拒收
rejectPaper	拒收论文
reviewCriteriaEnteredBy	由之录入审稿标准
reviewerBiddingStartedBy	审稿人投标始于
runPaperAssignmentTools	运行论文分派工具
setMaxPapers	设置最多论文数
startReviewerBidding	开始审稿投标
submitPaper	投稿
virtualMeetingEnabledBy	由之启动虚拟会议
writePaper	撰写论文
writeReview	撰写审稿意见
writtenBy	由之撰写
acceptsHardcopySubmissions	接受硬拷贝投稿
date	日期
email	电子信箱
logoURL	商标统一资源定址器
maxPapers	最多论文数
name	姓名
paperID	论文序号
reviewsPerPaper	每篇论文审稿意见数 
siteURL	网站地址
title	标题
