Bid	vyjádření zájmu
Conference	konference
Decision	rozhodnutí
Acceptance	přijetí
Rejection	zamítnutí
Document	dokument
Paper	článek
PaperAbstract	krátký článek
PaperFullVersion	řádný článek
Review	recenze
Meta-Review	meta-recenze
Person	osoba
Chairman	předseda
ConferenceMember	osoba s účastí na konferenci
AssociatedChair	spolupředseda
Author	autor
AuthorNotReviewer	autor který není recenzent
Co-author	spoluautor
ConferenceChair	předseda konference
ProgramCommitteeMember	člen programového výboru
ProgramCommitteeChair	předseda programového výboru
Reviewer	recenzent
Meta-Reviewer	meta-recenzent
ExternalReviewer	externí recenzent
User	uživatel
Administrator	administrátor
Preference	preference
ProgramCommittee	programový výbor
SubjectArea	předmětná oblast
acceptedBy	přijato kým
acceptPaper	přijal článek
addedBy	přidán člen programového výboru
addProgramCommitteeMember	přidat člena programového výboru
adjustBid	upravit vyjádření zájmu
adjustedBy	vyjádření zájmu upraveno
assignedByAdministrator	přidělen recenzent administrátorovi
assignedByReviewer	přidělen meta-recenzent recenzentovi
assignedTo	přiděleno recenzentovi
assignExternalReviewer	přidělen externí recenzent
assignReviewer	přidělen recenzent
co-writePaper	spoluautor příspěvku
detailsEnteredBy	podrobnosti vloženy kým
enableVirtualMeeting	umožnit virtuální schůzku konferenci
endReview	uzavřít recenzi
enterConferenceDetails	vložit podrobnosti konference
enterReviewCriteria	vložit kritéria recenze
finalizePaperAssignment	dokončit přidělení příspěvků konference
hardcopyMailingManifestsPrintedBy	brožury vytištěny kým
hasAuthor	článek napsal
hasBeenAssigned	recenzuje článek
hasBid	má vyjádření zájmu
hasCo-author	má spoluautora
hasConferenceMember	má člena konference
hasConflictOfInterest	má konflikt zájmu s příspěvkem
hasDecision	má rozhodnutí
hasProgramCommitteeMember	má člena programového výboru
hasSubjectArea	pojednává o tématu
markConflictOfInterest	označil konflikt zájmu
memberOfConference	člen konference
memberOfProgramCommittee	člen programového výboru
paperAssignmentFinalizedBy	přidělení příspěvků dokončeno kým
paperAssignmentToolsRunBy	nástroj pro přídělení příspěvků spuštěn kým
printHardcopyMailingManifests	tisk brožur konference
readByMeta-Reviewer	článek přečten meta-recenzentem
readByReviewer	článek přečten recenzentem
readPaper	čte článek
rejectedBy	zamítnut kým
rejectPaper	zamítnul článek
reviewCriteriaEnteredBy	zadání kritérií recenzí kým
reviewerBiddingStartedBy	vyjadření zájmu spuštěno kým
runPaperAssignmentTools	spustil přidělování článků konference
setMaxPapers	přidělení členů programového výboru administrátorem
startReviewerBidding	zahájil vyjadřování zájmu recenzentů
submitPaper	odeslání článku
virtualMeetingEnabledBy	virtuální schůzka konference umožněna kým
writePaper	napsal článek
writeReview	napsal recenzi
writtenBy	recenze napsána kým
acceptsHardcopySubmissions	akceptovány příspěvky konference pro tisk
date	datum konference
email	má email
logoURL	logo konference má URL
maxPapers	nastavil maximální počet recenzí
name	má jméno
paperID	článek má ID
reviewsPerPaper	konference má recenzí na článek
siteURL	webová stránka konference má URL
title	článek má název
