Activity	aktivita
Activity_after_conference	pokonferenční aktivita
Departure	odjezd  
Full_day_tour	celodenní výlet
Activity_before_conference	předkonferenční aktivita
Accepting_manuscript	aktivita přijímaní příspěvku
Receiving_manuscript	aktivita zamítnutí příspěvku 
Refusing_manuscript	aktivita odmítnutí příspěvku 
Renting	aktivita najmutí auta 	
Research	výzkumná aktivita 
Modelling	aktivita modelování 
Simulating	aktivita simulace 
Conference_activity	konferenční aktivita
Coctail_reception	recepce 
Coffee_break	přestávka na kávu 
Introduction	představení
Introduction_of_speaker	představení přednášejícího 
Lecture	přednáška 
Plenary_lecture	plenární přednáška 
Session	sekce
Speaker_lecture	přednáška přednášejícím 
Tutorial	tutoriál 
Presentation	prezentace 
PowerPoint_presentation	powerpointová prezentace 
Video_presentation	video prezentace
Registration	registrace na konferenci 
Social_program	společenská aktivita
Dinner_banquet	večerní banket
Technic_activity	technická aktivita
Welcome_address	uvítací proslov
City	město 
Conference_city	konferenčí město
Presenter_city	město prezentujícího 
Sponsor_city	město sponzora 
Trip_city	výletní město  
Currency	měna 
Item	artikl
Audiovisual_equipment	audiovizuální vybavení 
Computer	počítač 
LCD_projector	LCD projektor 
Overhead_projector	vrchní projektor 
Video_cassette_player	přehrávač videokazet 
Card	platební karta 
Credit_card	kreditní karta 
Document	dokument
Brief_introduction_for_Session_chair	stručné představení vedoucímu sekce 
Form	formulář
Author_information_form	informační formulář pro autora
Hotel_registration_form	hotelový registrační formulář 
Registration_form	konferenční registrační formulář
Invitation_letter	zvací dopis 
Mailing_list	seznam emailů 
Payment_document	platební dokument 
Bank_transfer	bankovní převod 
Cheque	šek 
Record_of_attendance	záznam účasti 
Review	recenze 
Submission	podání příspěvku 
Final_manuscript	finální verze příspěvku 
Initial_manuscipt	uvodní verze příspěvku
Transparency	prezentační slajdy
Viza	vízum 
Publication	publikace 
Book_proceeding	tištěný sborník 
Cd_proceening	sborník na CD 
Transport_vehicle	přepravní postředek 
Car	auto 
Shuttle_bus	mikrobus 
Taxi	taxi 
Van	dodávka
Money	peněžní částka 
Fee	poplatek
Fee_for_extra_trip	poplatek za výlet navíc  
Hotel_fee	hotelový poplatek 
Registration_fee	registrační poplatek 
Author_attendee_book_registration_fee	registrační poplatek autora pro obdržení tištěného sborníku
Author_attendee_cd_registration_fee	registrační poplatek autora pro obdržení sborníku na CD
Memeber_registration_fee	registrační poplatek pro člena konference 
Nonauthor_registration_fee	registrační poplatek pro neautora 
Nonmember_registration_fee	registrační poplatek pro nečlena konference
Student_registration_fee	registrační poplatek pro studenta 
Sponzorship	sponzorský dar
Tax	daň 
Departure_tax	daň z odjezdu 
Value_added_tax	daň z přidané hodnoty
Tip	spropitné 
Person	osoba 
Delegate	účastník konference?   
Conference_Hiker	konferenční výletník 
Hotel_presenter	hotelový uvaděč 
IASTED_member	člen konference IASTED
IASTED_non_member	nečlen konference IASTED 
Listener	posluchač 
Non_speaker	neprezentující 
Student_non_speaker	neprezentující student 
Worker_non_speaker	neprezentující pracovník
One_day_presenter	jednodenní prezentující
Session_chair	vedoucí sekce 
Speaker	prezentující 
Author	autor
Author_book_proceedings_included	autor, který obdrží tištěný sborník  
Author_cd_proceedings_included	autor, který obdrží sborník na CD 
Lecturer	přednášející	 
Student_lecturer	přednášející student
Worker_lecturer	přednášející pracovník
Plenary_lecture_speaker	plenární přednášející 
Tutorial_speaker	přednášející tutoriálu 
Reviewer	recenzent 
Technical_commitee	technický výbor 
Sponsor	sponzor 
Place	místo 
Building	budova 
Conference_airport	konferenční letiště 
Conference_building	konferenční budova 
Conference_hotel	konferenční hotel 
Conference_restaurant	konferenční restaurant 
Presenter_house	dům prezentujícího
Presenter_university	univerzita prezentujícího 
Sponsor_company_house	dům sponzora 
Conference_hall	konferenční hala 
Hotel_room	hotelová místnost 
Double_hotel_room	dvoulůžkový hotelový pokoj 
Single_hotel_room	jednolůžkový hotelový pokoj
Main_office	hlavní kancelář 
Session_room	místnost konferenční sekce 
State	země 
Conference_state	země konference 
Presenter_state	země prezentujícího 
Sponsor_state	země sponzora 
Time	čas
Conference_days	dny konference 
One_conference_day	konferenční den 
Deadline	termín 
Camera_ready_manuscript_deadline	termín podání verze pro tisk
Deadline_for_notification_of_acceptance	termín oznámení o přijetí
Deadline_hotel_reservation	termín hotelové rezervace 
Registation_deadline	termín registrace na konferenci
Submissions_deadline	termín podání příspěvku 
Trip_day	den výletu 
Time_zone	časové pásmo
give	souvisí s
go_through	souvisí s aktivitou 
is_connected_with	je spojen s 
is_designed_for	je připraven pro
is_equipped_by	je vybaven čím 
is_given_by	souvisí s
is_given_to	je přidělen komu
is_held_after	koná se po 
is_held_before	koná se před 
is_held_in	koná se kdy a kde
is_made_from	udělán z
is_needed_for	je potřebný pro 
is_occupied_by	je obýván kým
is_paid_by	je zaplaceno kým
is_paid_for	placeno pro co
is_paid_in	platba proběhla kde
is_paid_with	placeno čím
is_prepared_by	připraveno kým
is_present	je přítomen kdy 
is_present_in	je přítomen kdy a kde 
is_sent_after	posláno časově po 
is_sent_before	posláno časově před
is_sent_by	posláno kým 
is_signed_by	podepsáno kým
is_situated_in	umístěno kde 
is_used_by	použito kým
is_used_for	využit pro 
is_visited_by	navštíveno kým
is_writen_by	napsáno kým
need	potřebuje 
obtain	obdrží 
occupy	zaujímá místo 
pay	platí
prepare	připravuje artikl 
send	posílá
sign	podepisuje
speak_in	mluví kdy a kde 
write	napsal  
done_till	datum termínu 
has_amount_of	částka peněz 
is_dated_on	aktivita datována na datum a čas
