Bid	puja
Conference	conferencia
Decision	decisión
Acceptance	aceptar
Rejection	rechazar
Document	documento
Paper	artículo
PaperAbstract	resumen del artículo
PaperFullVersion	versión completa del artículo
Review	revisión
Meta-Review	meta revisión
Person	persona
Chairman	presidente
ConferenceMember	miembro de la conferencia
AssociatedChair	vice presidente
Author	autor
AuthorNotReviewer	autor, no revisor
Co-author	coautor
ConferenceChair	presidente de la conferencia
ProgramCommitteeMember	miembro del comité de programa
ProgramCommitteeChair	presidente del comité de programa
Reviewer	revisor
Meta-Reviewer	meta revisor
ExternalReviewer	revisor externo
User	usuario
Administrator	administrador
Preference	preferencia
ProgramCommittee	comité de programa
SubjectArea	área temática
acceptedBy	aceptado por
acceptPaper	acepta el artículo
addedBy	añadido por
addProgramCommitteeMember	añade miembro de comité de programa
adjustBid	modifica la puja
adjustedBy	modificada por
assignedByAdministrator	asignado por el administrador
assignedByReviewer	asignado por el revisor
assignedTo	asignado a 
assignExternalReviewer	asigna revisor externo 
assignReviewer	asignar revisor
co-writePaper	es coautor de un artículo
detailsEnteredBy	detalles introducidos por
enableVirtualMeeting	permite reunión virtual
endReview	finaliza revisión
enterConferenceDetails	introduce detalles de la conferencia
enterReviewCriteria	introduce criterios de revisión
finalizePaperAssignment	finaliza la asignación de artículos
hardcopyMailingManifestsPrintedBy	las copias en papel de los manifiestos de envío han sido impresas por
hasAuthor	tiene autor
hasBeenAssigned	ha sido asignado a 
hasBid	tiene puja 
hasCo-author	tiene coautor
hasConferenceMember	tiene miembro de la conferencia
hasConflictOfInterest	tiene conflicto de intereses
hasDecision	tiene decisión
hasProgramCommitteeMember	tiene miembro del comité de programa
hasSubjectArea	tiene área temática
markConflictOfInterest	ha señalado conflicto de intereses
memberOfConference	es miembro de la conferencia
memberOfProgramCommittee	es miembro del comité de programa
paperAssignmentFinalizedBy	la asignación de artículos ha sido finalizada por
paperAssignmentToolsRunBy	las herramientas para la asignación de artículos han sido gestionadas por
printHardcopyMailingManifests	copia en papel de los manifiestos de envío
readByMeta-Reviewer	leído por el meta revisor
readByReviewer	leído por el revisor
readPaper	lee el artículo
rejectedBy	rechazado por
rejectPaper	rechaza el artículo
reviewCriteriaEnteredBy	los criterios de revisión han sido introducidos por
reviewerBiddingStartedBy	la puja de los revisores ha sido iniciada por
runPaperAssignmentTools	gestiona las herramientas para la asignación de artículos
setMaxPapers	asigna un número máximo de artículos a
startReviewerBidding	inicia la puja de los artículos
submitPaper	envía el artículo
virtualMeetingEnabledBy	reunión virtual mediante
writePaper	redacta el artículo
writeReview	redacta la revisión
writtenBy	escrito por
acceptsHardcopySubmissions	acepta entregas en papel
date	fecha
email	correo electrónico
logoURL	URL del logotipo
maxPapers	número máximo de artículos
name	nombre
paperID	identificador del artículo
reviewsPerPaper	revisiones por artículo
siteURL	URL de la página web
title	título
