Activity	actividad
Activity_after_conference	actividad después de la conferencia
Departure	salida
Full_day_tour	excursión de todo el día
Activity_before_conference	actividad antes de la conferencia
Accepting_manuscript	aceptando el manuscrito
Receiving_manuscript	recibiendo el manuscrito
Refusing_manuscript	rechazando el manuscrito
Renting	alquilando
Research	investigación
Modelling	modelando
Simulating	simulando
Conference_activity	conferencia
Coctail_reception	coctail de bienvenida
Coffee_break	pausa para tomar un café
Introduction	introducción
Introduction_of_speaker	introducción del conferenciante
Lecture	conferencia
Plenary_lecture	conferencia plenaria
Session	sesión
Speaker_lecture	conferenciante
Tutorial	tutorial
Presentation	presentación 
PowerPoint_presentation	presentación power point
Video_presentation	presentación por vídeo
Registration	registro
Social_program	programa social
Dinner_banquet	cena de gala
Technic_activity	actividad técnica
Welcome_address	saludo de bienvenida
City	ciudad
Conference_city	ciudad de la conferencia
Presenter_city	ciudad del presentador
Sponsor_city	ciudad del patrocinador
Trip_city	excursión por la ciudad
Currency	moneda
Item	artículo
Audiovisual_equipment	equipo audiovisual
Computer	ordenador
LCD_projector	proyector LCD
Overhead_projector	proyector
Video_cassette_player	reproductor de video casete
Card	tarjeta
Credit_card	tarjeta de crédito
Document	documento
Brief_introduction_for_Session_chair	breve introducción al presidente de la sesión
Form	formulario 
Author_information_form	formulario de información sobre el autor
Hotel_registration_form	formulario de registro al hotel
Registration_form	formulario de registro
Invitation_letter	carta de invitación
Mailing_list	lista de correos
Payment_document	documento de pago
Bank_transfer	transferencia bancaria
Cheque	cheque
Record_of_attendance	record de asistencia
Review	revisión
Submission	envío
Final_manuscript	manuscrito final 
Initial_manuscipt	manuscrito inicial
Transparency	transparencia
Viza	visa
Publication	publicación 
Book_proceeding	libro de las actas
Cd_proceening	cd de las actas
Transport_vehicle	vehículo de transporte
Car	coche
Shuttle_bus	autobús de ida y vuelta
Taxi	taxi 
Van	furgoneta
Money	dinero
Fee	tasas
Fee_for_extra_trip	tasas por un viaje extra
Hotel_fee	tasas del hotel
Registration_fee	tasas del registro
Author_attendee_book_registration_fee	tasas de autor, asistente y libro
Author_attendee_cd_registration_fee	tasas de autor, asistente y cd
Memeber_registration_fee	tasas de registro para miembros
Nonauthor_registration_fee	tasas de registro para los no autores
Nonmember_registration_fee	tasas de registro para los no miembros
Student_registration_fee	tasas de registro par aestudiantes
Sponzorship	patrocinio
Tax	tasas
Departure_tax	tasas de salida
Value_added_tax	impuesto sobre el valor añadido
Tip	propina
Person	persona
Delegate	delegado
Conference_Hiker	excursionista de la conferencia
Hotel_presenter	presentador del hotel
IASTED_member	miembro de IASTED
IASTED_non_member	no miembro de IASTED
Listener	oyente
Non_speaker	no orador
Student_non_speaker	estudiante no orador
Worker_non_speaker	trabajador no orador
One_day_presenter	presentador durante un día
Session_chair	presidente de la sesión
Speaker	orador
Author	autor
Author_book_proceedings_included	incluye las el libro de las actas para autores
Author_cd_proceedings_included	incluye el cd de las actas para autores
Lecturer	conferenciante
Student_lecturer	conferenciante estudiante
Worker_lecturer	conferenciante trabajador
Plenary_lecture_speaker	conferenciante plenario
Tutorial_speaker	orador en tutorial
Reviewer	revisor
Technical_commitee	comité técnico 
Sponsor	patrocinador
Place	lugar
Building	edificio
Conference_airport	aeropuerto de la conferencia
Conference_building	edificio de la conferencia
Conference_hotel	hotel de la conferencia
Conference_restaurant	restaurante de la conferencia
Presenter_house	casa del moderador
Presenter_university	universidad del moderador
Sponsor_company_house	empresa del moderador
Conference_hall	sala principal de la conferencia 
Hotel_room	habitación de hotel
Double_hotel_room	habitación doble
Single_hotel_room	habitación individual
Main_office	oficina principal
Session_room	sala de sesiones
State	estado
Conference_state	estado en que tiene lugar la conferencia
Presenter_state	estado del moderador
Sponsor_state	estado del patrocinador
Time	hora
Conference_days	días de duración de la conferencia
One_conference_day	conferencia de un día de duración
Deadline	fecha límite
Camera_ready_manuscript_deadline	fecha límite de envío de la versión definitiva
Deadline_for_notification_of_acceptance	fecha límite de la notificación de aceptación 
Deadline_hotel_reservation	fecha límite de reserva en el hotel
Registation_deadline	fecha límite de registro
Submissions_deadline	fecha límite de envío de propuestas
Trip_day	día de excursión
Time_zone	zona horaria
give	dar
go_through	pasar por
is_connected_with	estar conectado con
is_designed_for	estar designado por
is_equipped_by	estar equipado por
is_given_by	dado por
is_given_to	dado a 
is_held_after	tiene lugar después de
is_held_before	tiene lugar antes de
is_held_in	tiene lugar en
is_made_from	hecho de
is_needed_for	se necesita para
is_occupied_by	ocupado por
is_paid_by	pagado por
is_paid_for	pagado para
is_paid_in	pagado en 
is_paid_with	pagado con
is_prepared_by	preparado por
is_present	está presente
is_present_in	está presente en
is_sent_after	enviado después de 
is_sent_before	enviado antes de
is_sent_by	enviado por
is_signed_by	firmado por
is_situated_in	situado en 
is_used_by	utilizado por
is_used_for	utilizado para
is_visited_by	visitado por
is_writen_by	escrito por
need	necesitar
obtain	obtener
occupy	ocupar
pay	pagar
prepare	preparar
send	enviar
sign	firmar
speak_in	hablar en 
write	escribir
done_till	hacer hasta
has_amount_of	tiene cantida de
is_dated_on	fechado en 
