Committee	comité	Comité
Organizing_committee	comité d'organisation	Comité d'organisation
Program_committee	comité de programme	Comité de programme
Steering_committee	comité de pilotage	Comité de pilotage
Conference	conférence	Conférence
Conference_volume	série de la conférence	Volume de conférence
Conference_document	document de la conférence	Document de conférence
Call_for_paper	appel à communication	Appel à communication
Call_for_participation	appel à participation	Appel à participation
Conference_announcement	annonce de la conférence	Annonce de conférence
Conference_contribution	contribuition à la conférence	Contribution de conférence
Poster	poster	Poster
Presentation	présentation	Présentation
Invited_talk	la conférence invitée	Présentation de conférencier invité
Written_contribution	contribution écrite	Contribution écrite
Regular_contribution	contribution régulière (long)	Contribution ordinaire
Extended_abstract	résumé étendu	Résumé étendu
Abstract	résumé	Résumé
Paper	article	Article
Submitted_contribution	contribution soumise	Contribution soumise
Reviewed_contribution	contribution revisée	Contribution relue
Accepted_contribution	contribution acceptée	Contribution acceptée
Camera_ready_contribution	version finale de la contribution	Version finale de contribution
Rejected_contribution	contribution rejetée	Contribution rejetée
Conference_www	conférence www	Conférence www
Information_for_participants	information aux participants	Information aux participants
Review	révision	Rapport d'examen
Conference_fees	frais d'inscription	Frais d'inscription
Conference_part	partie de la conférence	Partie de conférence
Track	track de la conférence	Session
Tutorial	tutoriel	Tutoriel
Workshop	atelier	Atelier
Conference_proceedings	actes de la conférence	Actes de conférence
Important_dates	dates importantes	Date importante
Organization	organisation	Frais d'inscription
Organizer	organisateur	Organisateur
Person	personne	Personne
Committee_member	membre du comité	Membre de comité
Chair	président	Président
Co-chair	co-président	Co-président
Conference_applicant	demandeur de participation dans la conférence	Personne qui a demandé à participer à une conférence
Paid_applicant	demandeur qui a payé les frais d'inscription	Personne qui a payé les frais d'inscription
Early_paid_applicant	demandeur qui a payé les frais d'inscription precoce	Personne qui a payé les frais d'inscription en avance
Late_paid_applicant	demandeur qui a payé les frais d'inscription tardive	Personne qui a payé les frais d'inscription tardivement
Conference_contributor	contributeur de la conférence	Contributeur de conférence
Active_conference_participant	participant actif de la conférence	Participant actif de conférence
Invited_speaker	conférencier invité	Conférencier invité
Regular_author	auteur régulier	Auteur ordinaire
Contribution_1th-author	prèmier auteur de la contribution	Premier auteur de contribution
Contribution_co-author	co-auteur de la contribution	Co-auteur de contribution
Conference_participant	participant de la conférence	Participant de conférence
Active_conference_participant	participant actif de la conférence	Participant actif de conférence
Passive_conference_participant	participant passif de la conférence	Participant passif de conférence
Reviewer	relecteur	Relecteur
Track-workshop_chair	président d'atelier track	Président de session d'atelier
Publisher	editeur	Editeur
Review_expertise	expertise du relecteur	Expertise de relecteur
Review_preference	préférence sur la révision	Préférence de relecteur
Topic	sujet or thème	Thématique
Registeered_applicant	demandeur (inscrit) enregistré	Candidat enregistré
belong_to_a_conference_volume	appartiennent à un volume de la conférence
belongs_to_a_review_reference	sujet lié à une préférence du relecteur	appartient à une préférence du relecteur
belongs_to_reviewers	préférence ou expertise du relecteur	appartient au relecteur
contributes	contribue à la conférence	contribue
gives_presentations	donne des présentations	fait la présentation
has_a_commtitee	a un comité	a pour comité
has_a_program_committee	a un comité de programme	a pour comité de programme
has_a_steering_committee	a un comité de pilotage	a pour comité de pilotage
has_an_organizing_committee	a un comité d'organisation	a pour comité d'organisation
has_a_publisher	a un editeur	a pour éditeur
has_a_review	a un relecteur	a pour relecteur
has_a_review_expertise	a une expertise de révision	a pour expertise de relecteur
has_a_review_reference_or_expertise	a une référence ou une expertise de révision	a pour préférence ou pour expertise
has_a_submitted_contribution	a soumis une contribution	a pour soumission
has_a_topic_or_a_submission_contribution	a un sujet ou une contribution soumise	a pour thématique ou pour soumission
has_a_track-workshop-tutorial_chair	a un président d'atelier	a pour président d'atelier
has_a_track-workshop-tutorial_topic	a un sujet d'atelier	a pour sujet d'atelier
has_an_abstract	a un resumé	a pour résumé
has_authors	a des auteurs	a pour auteur
has_been_assigned_a_review_reference	a été attribué à une préférence de révision	a été attribué à une préférence de relecture
has_contributions	a des contributions	a pour contributions
has_important_dates	a des date importantes	a pour date importante
has_members	a des membres	a pour membre
has_a_committee_chair	a un président de comité	a pour président de comité
has_a_committee_co-chair	a un co-président de comité	a pour co-président de comité
has_parts	a des parties	a pour partie
has_tracks	a des tracks	a pour session
has_tutorials	a des tutoriels	a pour tutoriel
has_workshops	a des ateliers	a pour atelier
invited_by	invité par	est invité par
invites_co-reviewers	invite les co-relecteurs	invite le co-relecteur
is_a_topis_of_conference_parts	est un sujet (thème) de une partie de la conférence	est une thématique d'une partie de la conférence
is_given_by	est presenté par	est dispensé par
is_part_of_conference_volumes	fait partie des volumes de la conférence	fait partie du volume de conférence
is_submitted_at	est soumis à
is_the_1th_part_of	est la première partie de
issues	éditeur publie les actes de la conférence	publie
reviews	révise une contribution	évalue
was_a_committee_of	était un comité de la conférence	a été un comité de
was_a_program_committee_of	était un comité de programme	a été un comité de programme de
was_a_steering_committee_of	était un comité de pilotage	a été un comité de pilotage de
was_an_organizing_committee_of	était un comité d'organisation	a été un comité d'organisation de
was_a_member_of	était un membre de	a été un membre de
was_a_committe_co-chair_of	était un co-président de comité de	a été un co-président de comité de
was_a_committee_chair_of	était un président de comité de	a été un président de comité de
was_a_track-workshop_chair_of	était un président d'atelier de	a été un président d'atelier de
has_a_URL	URL du site web de la conférence est	a pour URL
has_a_date_of_issue	a une date de publication	a pour date de publication
has_a_degree	a un degré de préference de révision	a pour degré
has_a_location	a un lieu	a pour lieu
has_a_name	a un nom	a pour nom
has_a_volume	a un numéro de volume	a pour volume
has_an_ISBN	a un ISBN	a pour ISBN
has_an_email	a un courriel	a pour courriel
has_an_expertise	a une expertise (degré d'expertise du relecteur)	a pour expertise
has_gender	a sexe	a pour genre
has_the_first_name	a le prénom	a pour prénom
has_the_last_name	a le nom	a pour nom
is_a_date_of_acceptance_announcement	est une date d'annonce de l'acceptation	est la date de notification de l'acceptation
is_a_date_of_camera_ready_paper_submission	est une date de soumission de la version finale	est la date de soumission de la version finale
is_a_full_paper_submission_date	est une date de soumission de la version complète	est la date de soumission de la version complète
is_a_starting_date	est une date de début	est la date de début
is_an_abstract_submission_date	est une date de soumission de résumé	est la date de soumission de résumé
is_an_ending_date	est une date de fin	est la date de fin
