Activity	activité	Activité
Activity_after_conference	activité ayant lieu après la conférence	Activité ayant lieu après une conférence
Departure	départ	Départ
Full_day_tour	tour de journée complète	Visite guidée d'une journée complète
Activity_before_conference	activité ayant lieu avant la conférence	Activité ayant lieu avant une conférence
Accepting_manuscript	activité d'acceptation d'un manuscrit	Acceptation de manuscrit
Receiving_manuscript	activité de réception d'un manuscrit	Réception de manuscrit
Refusing_manuscript	activité de refuser un manuscrit	Refus de manuscrit
Renting	activité de location d'une voiture	Location
Research	activité de recherche	Recherche
Modelling	activité de modélisation	Modélisation
Simulating	activité de simulation	Simulation
Conference_activity	activité ayant lieu pendant la conférence	Activité ayant lieu pendant une conférence
Coctail_reception	cocktail de réception	Cocktail de réception
Coffee_break	pause café	Pause café
Introduction	introduction	Introduction
Introduction_of_speaker	introduction du conférencier	Introduction d'un orateur
Lecture	séance de cours	Conférence
Plenary_lecture	séance de cours plénière	Conférence plénière
Session	session	Session
Speaker_lecture	cours donnée par un conférencier	Présentation d'orateur
Tutorial	tutoriel	Tutoriel
Presentation	présentation	Présentation
PowerPoint_presentation	présentation power point	Présentation power point
Video_presentation	présentation vidéo	Présentation vidéo
Registration	inscription	Inscription
Social_program	activité sociale	Programme social
Dinner_banquet	banquet du dîner	Dîner de gala
Technic_activity	activité technique	Activité technique
Welcome_address	allocution de bienvenue	Présentation d'accueil
City	ville	Ville
Conference_city	ville où la conférence a lieu	Ville de conférence
Presenter_city	ville d'où vient le présentateur	Ville de présentateur
Sponsor_city	ville d'où vient le sponsor	Ville de sponsor
Trip_city	ville qui est la destination pour un voyage	Ville d'excursion
Currency	devises	Monnaie
Item	item (en général)	Item
Audiovisual_equipment	équipement audiovisuel	Équipement audiovisuel
Computer	ordinateur	Ordinateur
LCD_projector	projecteur LCD	Projecteur LCD
Overhead_projector	rétroprojecteur	Rétroprojecteur
Video_cassette_player	lecteur de cassettes vidéo	Lecteur de cassettes vidéo
Card	carte	Carte
Credit_card	carte de crédit	Carte de crédit
Document	tout type de document	Document
Brief_introduction_for_Session_chair	brève introduction pour le président de la session	Brève introduction de président de session
Form	formulaire	Formulaire
Author_information_form	formulaire de renseignement sur l'auteur	Formulaire d'information sur un auteur
Hotel_registration_form	formulaire d'inscription à l'hôtel	Formulaire de réservation de chambre d'hôtel
Registration_form	formulaire d'inscription à la conférence	Formulaire d'inscription
Invitation_letter	lettre d'invitation	Lettre d'invitation
Mailing_list	liste de diffusion	Liste de diffusion
Payment_document	document de paiement	Document de paiement
Bank_transfer	virement bancaire	Virement bancaire
Cheque	chéque	Chèque
Record_of_attendance	registre de participation	Registre de participation
Review	révision	Rapport d'examen
Submission	soumission	Soumission
Final_manuscript	manuscrit final	Manuscrit final
Initial_manuscipt	manuscrit initial	Manuscrit initial
Transparency	transparent pour le rétroprojecteur	Transparent
Viza	visa	Visa
Publication	publication	Publication
Book_proceeding	actes en format papier	Actes en format papier
Cd_proceening	actes en format numérique (CD)	Actes en support numérique
Transport_vehicle	véhicule de transport	Véhicule de transport
Car	voiture	Voiture
Shuttle_bus	navette	Navette
Taxi	taxi	Taxi
Van	van	Minibus
Money	montant d'argent	Argent
Fee	frais	Frais
Fee_for_extra_trip	frais de voyage supplémentaire	Frais de voyage supplémentaire
Hotel_fee	frais d'hôtel	Frais d'hôtel
Registration_fee	frais d'inscription	Frais d'inscription
Author_attendee_book_registration_fee	frais d'inscription payés par un auteur participant pour recevoir les actes en format papier	Frais d'inscription d'auteur participant pour les actes au format papier
Author_attendee_cd_registration_fee	frais d'inscription payés par un auteur participant pour recevoir les actes en format numérique	Frais d'inscription d'auteur participant pour les actes sur support numérique
Memeber_registration_fee	frais d'inscription pour un membre	Frais d'inscription de membre
Nonauthor_registration_fee	frais d'inscription pour un non auteur	Frais d'inscription d'auteur
Nonmember_registration_fee	frais d'inscription pour un non membre	Frais d'inscription de non membre
Student_registration_fee	frais d'inscription pour un étudiant	Frais d'inscription d'étudiant
Sponzorship	sponsorisation	Sponsorisation
Tax	taxe	Taxe
Departure_tax	taxe de départ	Taxe de départ
Value_added_tax	valeur de taxe ajoutée	Taxe sur la valeur ajoutée
Tip	paiement volontaire additionnelle	Pourboire
Person	personne	Personne
Delegate	délégué (personne inscrit et qui visite la conférence)	Représentant
Conference_Hiker	marcheur de la conférence	Guide d'excursion de conférence
Hotel_presenter	présentateur de l'hôtel	Maître d'hôtel
IASTED_member	membre du IASTED	Membre d'IASTED
IASTED_non_member	non membre du iasted	Non membre d'IASTED
Listener	auditeur	Auditeur
Non_speaker	non présentateur	Non orateur
Student_non_speaker	étudiant qui n'est pas un présentateur (conférencier)	Étudiant non orateur
Worker_non_speaker	travailleur qui n'est pas un présentateur (conférencier)	Travailleur non orateur
One_day_presenter	présentateur (ou conférencier) qui ne présente que dans un jour	Orateur pendant une journée
Session_chair	président de la session	Président de session
Speaker	présentateur (ou conférencier)	Orateur
Author	auteur	Auteur
Author_book_proceedings_included	auteur qui recevra les actes que en format papier	Auteur ayant les actes au format papier
Author_cd_proceedings_included	auteur qui recevra les actes que en format numérique	Auteur ayant les actes sur support numérique
Lecturer	conférencier	Présentateur
Student_lecturer	conférencier étudiant	Présentateur étudiant
Worker_lecturer	conférencier travailleur	Présentateur salarié
Plenary_lecture_speaker	conférencier qui donne une conférence devant le plénum	Orateur de conférence plénière
Tutorial_speaker	conférencier qui présente un tutoriel	Orateur de tutoriel
Reviewer	relecteur	Relecteur
Technical_commitee	comité technique	Comité technique
Sponsor	sponsor	Sponsor 
Place	lieu	Lieu
Building	bâtiment	Bâtiment
Conference_airport	aéroport de la conférence	Aéroport de conférence
Conference_building	bâtiment de la conférence	Bâtiment de conférence
Conference_hotel	hôtel de la conférence	Hôtel de conférence
Conference_restaurant	restaurant de la conférence	Restaurant de conférence
Presenter_house	maison des présentateurs	Maison de présentateur
Presenter_university	université d'un présentateur	Université de présentateur
Sponsor_company_house	maison d'une entreprise étant un sponsor	Maison de société de sponsor
Conference_hall	salle de conférence	Salle de conférence
Hotel_room	chambre d'hôtel	Chambre d'hôtel
Double_hotel_room	chambre d'hôtel double	Chambre d'hôtel double
Single_hotel_room	chambre d'hôtel simple	Chambre d'hôtel simple
Main_office	bureau principal	Bureau principal
Session_room	salle de session	Salle de session
State	état	État
Conference_state	état où la conférence a lieu	État de conférence
Presenter_state	état du présentateur	État d'un présentateur
Sponsor_state	état du sponsor	État d'un sponsor
Time	temps	Temps
Conference_days	jours de la conférence	Jour de conférence
One_conference_day	conférence d'une journéé	Conférence d'une journée
Deadline	date limite	Date limite
Camera_ready_manuscript_deadline	date limite pour soumettre la version finale du manuscrit	Date limite de dépôt version finale de manuscrit
Deadline_for_notification_of_acceptance	date limite pour la notification de l'acceptation	Date limite de notification d'acceptation
Deadline_hotel_reservation	date limite pour la réservation d'hôtel	Date limite de réservation d'hôtel
Registation_deadline	date limite pour l'inscription	Date limite d'inscription
Submissions_deadline	date limite pour la soumission	Date limite de soumission  
Trip_day	jour assigné pour un voyage	Jour de voyage
Time_zone	fuseau horaire	Fuseau horaire
give	donne
go_through	passe par
is_connected_with	est connecté à
is_designed_for	est conçu pour
is_equipped_by	est équipé par
is_given_by	est donnée par	est donné par
is_given_to	est donnée à	est donné à
is_held_after	a lieu après
is_held_before	a lieu avant
is_held_in	a lieu dans
is_made_from	est fait à partir de
is_needed_for	est nécessaire pour
is_occupied_by	est occupé par
is_paid_by	est payé par
is_paid_for	est payé pour
is_paid_in	est payé en	est payé à
is_paid_with	est payé avec
