Committee	commissie
Organizing_committee	organisatiecommissie
Program_committee	programmacommissie
Steering_committee	stuurgroep
Conference	conferentie
Conference_volume	conferentiebundel
Conference_document	conferentie document
Call_for_paper	oproep inzenzingen
Call_for_participation	oproep tot deelname
Conference_announcement	conferentie aankondiging
Conference_contribution	conferentie contributie
Poster	poster
Presentation	presentatie
Invited_talk	lezing op uitnodiging
Written_contribution	geschreven contributie
Regular_contribution	gewone contributie
Extended_abstract	lange synopsis
Abstract	synopsis
Paper	artikel
Submitted_contribution	ingediende contributie
Reviewed_contribution	gerecenseerde contributie
Accepted_contribution	geaccepteerde contributie
Camera_ready_contribution	drukklare contributie
Rejected_contribution	afgewezen contributie
Conference_www	conferentie website
Information_for_participants	informatie voor deelnemers
Review	recentie
Conference_fees	conferentie kosten 
Conference_part	conferentie deel
Track	track
Tutorial	snelcursus
Workshop	workshop
Conference_proceedings	conferentiebundel
Important_dates	belangrijke data
Organization	organisatie
Organizer	organisator
Person	persoon
Committee_member	commissielid
Chair	voorzitter
Co-chair	co-voorzitter
Conference_applicant	conferentie aanvrager
Paid_applicant	betaalde aanvrager
Early_paid_applicant	vroeg betaalde aanvrager
Late_paid_applicant	laat betaalde aanvrager
Conference_contributor	conferentie bijdrager
Active_conference_participant	actieve conferentie deelnemer
Invited_speaker	uitgenodigde spreker
Regular_author	gewone auteur
Contribution_1th-author	eerste auteur
Contribution_co-author	coauteur bijdrage
Conference_participant	conferentie deelnemer
Active_conference_participant	actieve conferentie deelnemer
Passive_conference_participant	passieve conferentie deelnemer
Reviewer	recensent
Track-workshop_chair	track-workshop voorzitter
Publisher	uitgever
Review_expertise	recentie expertise
Review_preference	recentie voorkeur
Topic	onderwerp
Registeered_applicant	geregistreerde aanvrager
belong_to_a_conference_volume	hoort bij een conferentiebundel
belongs_to_a_review_reference	hoort bij een recentie referentie
belongs_to_reviewers	hoort bij recencenten
contributes	contribueert
gives_presentations	geeft presentaties
has_a_commtitee	heeft een commissie
has_a_program_committee	heeft een programmacommissie
has_a_steering_committee	heeft een stuurgroep
has_an_organizing_committee	heeft een organisatiecommissie
has_a_publisher	heeft een uitgever
has_a_review	heeft een recentie
has_a_review_expertise	heeft een recentie expertise
has_a_review_reference_or_expertise	heeft een recentie referentie of expertise
has_a_submitted_contribution	heeft een ingediende contributie
has_a_topic_or_a_submission_contribution	heeft een onderwerp of een ingediende contributie
has_a_track-workshop-tutorial_chair	heeft een track-workshop-snelcursus voorzitter
has_a_track-workshop-tutorial_topic	heeft een track-workshop-snelcursus onderwerp
has_an_abstract	heeft een synopsis
has_authors	heeft auteurs
has_been_assigned_a_review_reference	is een recensie referentie toegewezen
has_contributions	heeft contributies
has_important_dates	heeft belangrijke data
has_members	heeft leden
has_a_committee_chair	heeft een commissievoorzitter
has_a_committee_co-chair	heeft een commissiecovoorzitter
has_parts	heeft delen
has_tracks	heeft tracks
has_tutorials	heeft snelcursussen
has_workshops	heeft workshops
invited_by	uitgenodigd door
invites_co-reviewers	nodigt corecensenten uit
is_a_topis_of_conference_parts	is een onderwerp van conferentie delen
is_given_by	wordt gegeven door
is_part_of_conference_volumes	is deel van conferentiebundel
is_submitted_at	ingediend
is_the_1th_part_of	is het eerste deel van
issues	uitgaven
reviews	recensies
was_a_committee_of	was een commissie van
was_a_program_committee_of	was een programmacommissie van
was_a_steering_committee_of	was een stuurgroep van
was_an_organizing_committee_of	was een organisatiecommissie van
was_a_member_of	was lid van
was_a_committe_co-chair_of	was een commissiecovoorzitter van
was_a_committee_chair_of	was een commissievoorzitter van
was_a_track-workshop_chair_of	was een track-workshop voorzitter van
has_a_URL	heeft een URL
has_a_date_of_issue	heeft een uitgavedatum
has_a_degree	heeft een graad
has_a_location	heeft een plaats
has_a_name	heeft een naam
has_a_volume	heeft een deel
has_an_ISBN	heeft een ISBN
has_an_email	heeft een email
has_an_expertise	heeft een expertise
has_gender	heeft sekse
has_the_first_name	heeft voornaam
has_the_last_name	heeft achternaam
is_a_date_of_acceptance_announcement	is een datum van bekendmaking van acceptatie
is_a_date_of_camera_ready_paper_submission	is een datum van drukklare versie submissie
is_a_full_paper_submission_date	is een volledig artikel submissie datum
is_a_starting_date	is een begindatum
is_an_abstract_submission_date	is een synopsis submissie datum
is_an_ending_date	is een einddatum
